epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.81991,3.40489,4.57282,1.59833,0,0,0,0,1.78809,3.90707,0.97973,3.334e-05,3.334e-05,3.334e-05
2,4.2227,3.80302,4.59164,1.6896,0.00047,0.0122,0.00024,0.00019,1.86628,3.93793,1.00288,8.05995e-05,8.05995e-05,8.05995e-05
3,5.61569,3.16381,4.5214,1.44202,0.00952,0.2439,0.00593,0.00229,1.37654,3.86079,0.8925,0.000124558,0.000124558,0.000124558
4,6.90683,1.80551,4.04938,1.04208,0.0292,0.7561,0.02965,0.01459,1.33404,3.77948,0.85885,0.000165216,0.000165216,0.000165216
5,8.18926,1.77406,3.67038,0.90115,0.03412,0.90244,0.04359,0.01672,1.42362,3.77428,0.86122,0.000202574,0.000202574,0.000202574
6,9.48649,1.66969,3.00849,0.88407,0.03385,0.90244,0.04681,0.02126,1.37562,3.70324,0.85606,0.000236631,0.000236631,0.000236631
7,10.8093,1.48373,2.57614,0.87716,0.03435,0.90244,0.05187,0.02896,1.18219,3.56698,0.83564,0.000267387,0.000267387,0.000267387
8,12.2248,1.4858,2.2069,0.86952,0.0334,0.86585,0.07643,0.04513,1.09779,3.44727,0.82367,0.000294842,0.000294842,0.000294842
9,13.8905,1.5377,1.71289,0.85279,0.0334,0.86585,0.07643,0.04513,1.09779,3.44727,0.82367,0.000318997,0.000318997,0.000318997
10,15.3648,1.53633,1.79175,0.84163,0.03462,0.86585,0.39911,0.20678,1.0413,3.27008,0.8169,0.000339851,0.000339851,0.000339851
11,16.7238,1.19239,1.36443,0.83803,0.03462,0.86585,0.39911,0.20678,1.0413,3.27008,0.8169,0.000357405,0.000357405,0.000357405
12,18.1792,1.43538,1.55684,0.85114,0.03833,0.92683,0.44716,0.2638,1.03732,3.05586,0.80954,0.000371658,0.000371658,0.000371658
13,19.6962,1.24274,1.26856,0.83996,0.03833,0.92683,0.44716,0.2638,1.03732,3.05586,0.80954,0.00038261,0.00038261,0.00038261
14,21.1222,1.14692,1.25498,0.83326,0.04215,0.97561,0.34803,0.21517,1.02572,2.9086,0.80913,0.000390261,0.000390261,0.000390261
15,22.7148,1.13423,1.36106,0.83814,0.04215,0.97561,0.34803,0.21517,1.02572,2.9086,0.80913,0.000394612,0.000394612,0.000394612
16,24.2496,1.01712,1.23337,0.86849,0.04215,0.97561,0.34803,0.21517,1.02572,2.9086,0.80913,0.000395662,0.000395662,0.000395662
17,25.6069,1.12029,1.22667,0.82868,0.04182,0.97561,0.494,0.31632,0.95077,2.82016,0.8016,0.000393412,0.000393412,0.000393412
18,27.0101,1.05181,1.22609,0.81364,0.04182,0.97561,0.494,0.31632,0.95077,2.82016,0.8016,0.000387861,0.000387861,0.000387861
19,28.4334,1.07302,1.12683,0.82206,0.04182,0.97561,0.494,0.31632,0.95077,2.82016,0.8016,0.000379009,0.000379009,0.000379009
20,29.8894,1.10113,1.21703,0.84136,0.04109,0.97561,0.58418,0.40972,0.87128,2.71373,0.8018,0.000366857,0.000366857,0.000366857
21,31.3373,0.89565,1.36842,0.83966,0.04109,0.97561,0.58418,0.40972,0.87128,2.71373,0.8018,0.000351404,0.000351404,0.000351404
22,32.7059,1.0067,1.56434,0.83089,0.04109,0.97561,0.58418,0.40972,0.87128,2.71373,0.8018,0.00033265,0.00033265,0.00033265
23,34.0496,1.09697,1.69091,0.81142,0.04109,0.97561,0.58418,0.40972,0.87128,2.71373,0.8018,0.000310595,0.000310595,0.000310595
24,35.4038,1.0929,1.60701,0.82763,1,0.55521,0.92388,0.65584,0.87221,2.28047,0.80357,0.00028524,0.00028524,0.00028524
25,36.7296,0.84305,1.31349,0.81269,1,0.55521,0.92388,0.65584,0.87221,2.28047,0.80357,0.000256585,0.000256585,0.000256585
26,38.089,0.96071,1.2805,0.84094,1,0.55521,0.92388,0.65584,0.87221,2.28047,0.80357,0.000224628,0.000224628,0.000224628
27,39.4695,0.94478,1.50667,0.83244,1,0.55521,0.92388,0.65584,0.87221,2.28047,0.80357,0.000189371,0.000189371,0.000189371
28,40.7656,0.99565,1.40575,0.81531,1,0.55521,0.92388,0.65584,0.87221,2.28047,0.80357,0.000150813,0.000150813,0.000150813
29,42.3401,0.94845,1.44554,0.79676,1,0.58344,0.93782,0.68067,0.85747,1.87303,0.80396,0.000108955,0.000108955,0.000108955
30,43.7353,0.85332,1.22123,0.78458,1,0.58344,0.93782,0.68067,0.85747,1.87303,0.80396,6.37961e-05,6.37961e-05,6.37961e-05
